Epoch 1: Train AUC=53.87, Val AUC=50.00
Epoch 2: Train AUC=61.85, Val AUC=50.00
Epoch 3: Train AUC=63.21, Val AUC=46.36
Epoch 4: Train AUC=62.78, Val AUC=63.59
Epoch 5: Train AUC=67.33, Val AUC=79.43
Epoch 6: Train AUC=70.88, Val AUC=79.80
Epoch 7: Train AUC=73.99, Val AUC=79.18
Epoch 8: Train AUC=76.59, Val AUC=78.07
Epoch 9: Train AUC=75.50, Val AUC=78.00
Epoch 10: Train AUC=75.40, Val AUC=78.15
Epoch 11: Train AUC=77.59, Val AUC=74.79
Epoch 12: Train AUC=80.73, Val AUC=79.43
Epoch 13: Train AUC=80.25, Val AUC=72.11
Epoch 14: Train AUC=81.14, Val AUC=80.07
Epoch 15: Train AUC=83.23, Val AUC=77.34
Epoch 16: Train AUC=82.55, Val AUC=80.44
Epoch 17: Train AUC=86.62, Val AUC=75.92
Epoch 18: Train AUC=86.51, Val AUC=78.18
Epoch 19: Train AUC=83.55, Val AUC=75.41
Epoch 20: Train AUC=86.39, Val AUC=76.41
Epoch 21: Train AUC=88.67, Val AUC=78.98
Epoch 22: Train AUC=91.77, Val AUC=71.80
Epoch 23: Train AUC=88.01, Val AUC=77.41
Epoch 24: Train AUC=87.00, Val AUC=78.85
Epoch 25: Train AUC=90.90, Val AUC=79.46
Epoch 26: Train AUC=92.11, Val AUC=75.92
Epoch 27: Train AUC=90.32, Val AUC=73.28
Epoch 28: Train AUC=90.96, Val AUC=77.07
Epoch 29: Train AUC=87.78, Val AUC=78.25
Epoch 30: Train AUC=88.32, Val AUC=76.46
Epoch 31: Train AUC=91.69, Val AUC=75.30
Epoch 32: Train AUC=93.23, Val AUC=73.36
Epoch 33: Train AUC=94.42, Val AUC=77.33
Epoch 34: Train AUC=93.94, Val AUC=76.25
Epoch 35: Train AUC=94.04, Val AUC=77.51
Epoch 36: Train AUC=91.17, Val AUC=73.90
Epoch 37: Train AUC=91.71, Val AUC=78.79
Epoch 38: Train AUC=95.15, Val AUC=76.30
Epoch 39: Train AUC=94.02, Val AUC=74.56
Epoch 40: Train AUC=95.73, Val AUC=77.75
Epoch 41: Train AUC=95.53, Val AUC=78.44
Epoch 42: Train AUC=96.25, Val AUC=67.52
Epoch 43: Train AUC=94.37, Val AUC=72.38
Epoch 44: Train AUC=95.64, Val AUC=74.38
Epoch 45: Train AUC=96.50, Val AUC=76.23
Epoch 46: Train AUC=96.80, Val AUC=73.57
Epoch 47: Train AUC=96.34, Val AUC=72.30
Epoch 48: Train AUC=95.19, Val AUC=69.69
Epoch 49: Train AUC=94.02, Val AUC=78.46
Epoch 50: Train AUC=95.76, Val AUC=76.21
Epoch 51: Train AUC=95.60, Val AUC=74.15
Epoch 52: Train AUC=95.99, Val AUC=75.75
Epoch 53: Train AUC=98.47, Val AUC=76.48
Epoch 54: Train AUC=96.88, Val AUC=73.30
Epoch 55: Train AUC=98.64, Val AUC=72.75
Epoch 56: Train AUC=96.97, Val AUC=71.67
Epoch 57: Train AUC=97.88, Val AUC=74.43
Epoch 58: Train AUC=98.27, Val AUC=76.74
Epoch 59: Train AUC=97.60, Val AUC=72.41
Epoch 60: Train AUC=97.35, Val AUC=68.79
Epoch 61: Train AUC=98.65, Val AUC=71.46
Epoch 62: Train AUC=98.79, Val AUC=74.93
Epoch 63: Train AUC=98.78, Val AUC=75.43
Epoch 64: Train AUC=99.47, Val AUC=75.89
Epoch 65: Train AUC=99.21, Val AUC=77.02
Epoch 66: Train AUC=98.36, Val AUC=69.10
Epoch 67: Train AUC=98.32, Val AUC=73.43
Epoch 68: Train AUC=99.14, Val AUC=75.05
Epoch 69: Train AUC=99.65, Val AUC=72.85
Epoch 70: Train AUC=99.35, Val AUC=71.69
Epoch 71: Train AUC=99.15, Val AUC=73.00
Epoch 72: Train AUC=98.96, Val AUC=73.70
Epoch 73: Train AUC=99.32, Val AUC=70.23
Epoch 74: Train AUC=99.74, Val AUC=72.48
Epoch 75: Train AUC=99.28, Val AUC=74.33
Epoch 76: Train AUC=99.96, Val AUC=73.16
Epoch 77: Train AUC=99.80, Val AUC=72.98
Epoch 78: Train AUC=99.78, Val AUC=73.46
Epoch 79: Train AUC=99.58, Val AUC=74.49
Epoch 80: Train AUC=99.63, Val AUC=76.85
Epoch 81: Train AUC=99.93, Val AUC=76.98
Epoch 82: Train AUC=99.60, Val AUC=74.21
Epoch 83: Train AUC=99.78, Val AUC=74.95
Epoch 84: Train AUC=99.74, Val AUC=74.33
Epoch 85: Train AUC=99.85, Val AUC=76.16
Epoch 86: Train AUC=99.80, Val AUC=76.95
Epoch 87: Train AUC=99.87, Val AUC=76.56
Epoch 88: Train AUC=99.82, Val AUC=75.66
Epoch 89: Train AUC=99.92, Val AUC=75.49
Epoch 90: Train AUC=99.92, Val AUC=75.52
Epoch 91: Train AUC=99.93, Val AUC=75.34
Epoch 92: Train AUC=99.73, Val AUC=75.39
Epoch 93: Train AUC=99.97, Val AUC=75.03
Epoch 94: Train AUC=99.95, Val AUC=75.28
Epoch 95: Train AUC=99.99, Val AUC=74.90
Epoch 96: Train AUC=99.85, Val AUC=75.31
Epoch 97: Train AUC=99.99, Val AUC=75.26
Epoch 98: Train AUC=98.97, Val AUC=75.13
Epoch 99: Train AUC=99.99, Val AUC=75.38
Epoch 100: Train AUC=99.96, Val AUC=75.34
